name,email,country,region,phone,address,occupation,registration_number,married,age,skin_color,2nd_vacine,team,fixed
Wendy Stein,orci@utmi.co.uk,Brazil,São Paulo,(57) 0000-6495,Ap #388-7776 Nunc St.,Enfermeiro Plantonista,2122,Sim,41,Indígena,1,7,Nao
Kadeem Burton,ultrices@non.org,Brazil,Ceará,(74) 0000-2706,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro Plantonista,2123,Nao,27,Preta,1,11,Nao
Mia Chase,nibh@dolorelitpellentesque.edu,Brazil,Ceará,(35) 0000-5125,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro Obstreta,2124,Sim,31,Indígena,0,3,Nao
Igor Nelson,malesuada.vel@amet.net,Brazil,Minas Gerais,(88) 0000-6013,Ap #888-5578 Rutrum Av.,Enfermeiro UTI,2125,Nao,28,Indígena,1,1,Sim
Solomon Mcintyre,suspendisse@donec.ca,Brazil,Santa Catarina,(84) 0000-2026,813-448 Donec St.,Coordenador de Enfermagem,2126,Sim,28,Branca,1,7,Nao
Ria Barr,aliquet.nec@euismodestarcu.net,Brazil,Pará,(29) 0000-3215,Ap #298-1370 Hendrerit Rd.,Tecnico Enfermagem,2127,Nao,23,Amarela,0,5,Sim
Owen Yang,in.ornare.sagittis@maurisrhoncus.edu,Brazil,Pará,(76) 0000-7236,467-9249 Fames St.,Coordenador de Enfermagem,2128,Nao,27,Parda,1,2,Sim
Austin Reilly,sit@felis.edu,Brazil,Pará,(77) 0000-3381,Ap #906-1065 Turpis Av.,Enfermeiro Obstreta,2129,Sim,33,Branca,0,5,Nao
Whitney Lancaster,urna.suscipit@elementumat.co.uk,Brazil,Santa Catarina,(06) 0000-1158,441 Purus Ave,Auxiliar de Enfermagem,2130,Nao,40,Amarela,0,5,Sim
Slade Woodward,aenean.eget@proin.ca,Brazil,Santa Catarina,(44) 0000-9258,6368 Elit St.,Enfermeiro Chefe,2131,Sim,22,Indígena,0,6,Sim
Aurora Foreman,diam.dictum.sapien@dictumproin.net,Brazil,Maranhão,(28) 0000-0611,457 Integer Av.,Farmaceutico,2132,Sim,24,Amarela,1,6,Sim
Brent Wolf,pretium@sapiengravida.edu,Brazil,São Paulo,(71) 0000-1267,Ap #720-3080 Curabitur St.,Tecnico Enfermagem,2133,Nao,44,Parda,1,2,Nao
Lacota Baker,in.lorem.donec@vivamussit.org,Brazil,Ceará,(31) 0000-6688,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Tecnico Enfermagem,2134,Sim,39,Preta,1,8,Sim
Hunter Carney,egestas@pellentesquesed.org,Brazil,Rio de Janeiro,(22) 0000-1263,920-1747 Lectus Street,Cirurgiao,2135,Nao,45,Branca,0,2,Nao
Inga Young,nec.ante@netuset.edu,Brazil,Rio Grande do Sul,(15) 0000-4839,206-9102 Arcu. Road,Auxiliar de Enfermagem,2136,Sim,24,Indígena,0,5,Nao
Judah Shannon,hendrerit.consectetuer@pretiumaliquetmetus.org,Brazil,Maranhão,(12) 0000-8832,Ap #803-7920 Enim. Street,Enfermeiro UTI,2137,Sim,31,Branca,0,5,Nao
Jerry Pacheco,auctor.nunc@dignissimtempor.com,Brazil,Paraíba,(04) 0000-9868,829 Eget St.,Medico,2138,Nao,48,Indígena,0,10,Nao
Hammett Keith,in.sodales@donecfeugiat.ca,Brazil,São Paulo,(82) 0000-8684,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Enfermeiro Obstreta,2139,Sim,46,Amarela,1,5,Sim
Uriel Carney,lobortis.mauris.suspendisse@nisimagnased.net,Brazil,Pará,(61) 0000-1271,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Gerente de Enfermagem,2140,Nao,23,Amarela,0,13,Sim
Zeph Curry,mauris.erat@accumsaninterdum.net,Brazil,Maranhão,(84) 0000-8288,7929 Adipiscing Avenue,Farmaceutico,2141,Sim,19,Amarela,0,14,Nao
Tiger Mitchell,nisl.arcu@porttitor.net,Brazil,Ceará,(12) 0000-1558,Ap #759-1652 Bibendum. Rd.,Tecnico Enfermagem,2142,Nao,46,Preta,0,9,Nao
Ursula Daniel,curabitur.egestas@pede.ca,Brazil,Minas Gerais,(54) 0000-1763,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Fisioterapeuta Geral,2143,Nao,37,Indígena,1,14,Nao
Leonard Mckay,erat@placeratvelitquisque.org,Brazil,Bahia,(93) 0000-6275,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Cirurgiao,2144,Nao,40,Branca,1,13,Sim
Ezra O'connor,amet@magnisdis.com,Brazil,Maranhão,(17) 0000-6517,185-8110 Euismod St.,Enfermeiro Obstreta,2145,Nao,21,Branca,1,1,Sim
Justine Gonzalez,hymenaeos@lobortismauris.edu,Brazil,São Paulo,(45) 0000-2927,Ap #488-1451 Taciti Avenue,Enfermeiro Obstreta,2146,Nao,32,Indígena,0,8,Nao
Macey Davidson,aliquet@erategettincidunt.ca,Brazil,Bahia,(78) 0000-8432,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Nefrologista,2147,Sim,25,Indígena,1,4,Sim
Quemby Norman,aenean.eget@risusduisa.com,Brazil,Pernambuco,(66) 0000-8262,1148 Ligula. Ave,Enfermeiro UTI,2148,Nao,33,Amarela,1,9,Sim
Harrison Boone,rutrum@acnulla.co.uk,Brazil,Minas Gerais,(50) 0000-1342,Zeus Clements,lectus@aliquamrutrumlorem.net,Brazil,Minas Gerais,(32) 0000-6576,Ap #207-7738 Turpis Street,Coordenador de Enfermagem,2105,Nao,26,Indígena,0,Auxiliar de Enfermagem,2149,Sim,42,Indígena,0,3,Nao
Todd Rivers,urna.ut@interdum.edu,Brazil,Maranhão,(42) 0000-2803,9905 Libero Rd.,Tecnico Em Radiologia,2150,Nao,40,Amarela,0,4,Sim
Hope Mcknight,libero.proin.mi@acrisus.edu,Brazil,Rio Grande do Sul,(17) 0000-5314,733-3410 Consectetuer Avenue,Enfermeiro UTI,2151,Nao,19,Branca,0,9,Nao
Evelyn Booker,conubia.nostra.per@pellentesquetincidunttempus.com,Brazil,Paraíba,(88) 0000-5386,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Farmaceutico,2152,Nao,45,Branca,0,13,Sim
Liberty Munoz,nibh@ultriciesornareelit.ca,Brazil,Rio de Janeiro,(02) 0000-4237,803-7096 Accumsan Rd.,Nefrologista,2153,Nao,39,Preta,1,13,Sim
Giacomo Dunlap,placerat@temporest.co.uk,Brazil,São Paulo,(16) 0000-6155,Ap #786-1526 Pharetra Ave,Auxiliar de Enfermagem,2154,Nao,25,Parda,1,6,Sim
Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,8,Nao
Brielle Frazier,eu.arcu.morbi@necimperdiet.ca,Brazil,Bahia,(41) 0000-3645,335-9325 Blandit Ave,Enfermeiro Chefe,2156,Nao,24,Indígena,1,3,Nao
Camille Mcbride,eu.euismod.ac@orci.net,Brazil,Minas Gerais,(82) 0000-6935,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Medico,2157,Nao,49,Branca,0,5,Sim
Scarlett Compton,vel@accumsanneque.net,Brazil,Santa Catarina,(58) 0000-3471,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Tecnico Em Radiologia,2158,Nao,27,Amarela,0,8,Nao
Seth Hester,congue.a@dictumphasellus.org,Brazil,Maranhão,(42) 0000-9510,956-5712 Metus. Ave,Fisioterapeuta Geral,2159,Sim,40,Indígena,1,14,Sim
Vivien Weeks,ornare.egestas@tempuseuligula.edu,Brazil,Santa Catarina,(64) 0000-5265,185-6630 Natoque Road,Medico,2160,Sim,34,Parda,1,14,Sim
Donna Irwin,arcu@curabitur.ca,Brazil,Santa Catarina,(21) 0000-0438,Ap #764-1311 Lacus Avenue,Nefrologista,2161,Nao,38,Indígena,1,7,Nao
Eve Key,tristique.aliquet.phasellus@nullainteger.co.uk,Brazil,Bahia,(34) 0000-6075,Ap #564-1553 Ligula Ave,Enfermeiro Obstreta,2162,Sim,24,Indígena,0,8,Nao
Sean Diaz,arcu.morbi@integertinciduntaliquam.edu,Brazil,São Paulo,(60) 0000-2845,Ap #713-8949 Scelerisque St.,Farmaceutico,2163,Sim,20,Parda,1,1,Nao
Gemma Glenn,placerat.eget.venenatis@porttitor.com,Brazil,Santa Catarina,(69) 0000-6766,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Enfermeiro Plantonista,2164,Nao,18,Amarela,1,4,Nao
Bradley O'connor,cursus@morbitristique.co.uk,Brazil,Maranhão,(50) 0000-4272,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Farmaceutico,2165,Nao,23,Branca,0,1,Sim
Wayne Mcclain,eros@pulvinar.com,Brazil,Maranhão,(64) 0000-1342,580-7551 Nibh Street,Cirurgiao,2166,Sim,31,Branca,0,1,Nao
Todd Solis,iaculis.lacus@necleo.ca,Brazil,Rio de Janeiro,(70) 0000-3782,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Fisioterapeuta Geral,2167,Nao,45,Parda,1,10,Nao
Ria Christensen,aliquet@nasceturridiculus.com,Brazil,Santa Catarina,(47) 0000-6958,Ap #153-3919 Metus Av.,Tecnico Enfermagem,2168,Sim,27,Indígena,1,12,Nao
John Kirkland,cursus.et@temporestac.ca,Brazil,Pernambuco,(53) 0000-1432,2768 Adipiscing St.,Fisioterapeuta Geral,2169,Nao,22,Parda,0,5,Sim
Maxwell Welch,cras.pellentesque@imperdietornare.com,Brazil,Pará,(19) 0000-4232,Ap #524-5080 Ultricies Ave,Enfermeiro UTI,2170,Sim,29,Parda,0,1,Nao
McKenzie Johnson,interdum.feugiat@tristiquesenectus.net,Brazil,Goiás,(17) 0000-6078,220-3485 Feugiat Rd.,Auxiliar de Enfermagem,2171,Nao,30,Amarela,0,11,Sim
Shad Ryan,curabitur.massa@volutpatnulla.ca,Brazil,Paraíba,(35) 0000-2304,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Farmaceutico,2172,Nao,20,Parda,1,4,Sim
Grady Garcia,a.malesuada@dui.edu,Brazil,Paraná,(66) 0000-3124,711-4734 Pellentesque St.,Coordenador de Enfermagem,2173,Sim,45,Parda,1,1,Sim
Rose Cotton,velit@facilisisfacilisis.co.uk,Brazil,Paraíba,(71) 0000-5509,501-8773 Dignissim St.,Auxiliar de Enfermagem,2174,Sim,31,Parda,1,9,Sim
Evelyn Oneal,mattis.velit@augueacipsum.ca,Brazil,São Paulo,(24) 0000-7924,680-2603 Lobortis Road,Enfermeiro UTI,2175,Sim,34,Parda,1,12,Nao
Denton Hanson,a.arcu@pellentesquetincidunttempus.org,Brazil,Paraíba,(42) 0000-2785,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Enfermeiro Obstreta,2176,Sim,20,Branca,1,9,Sim
Hilel Dalton,eleifend.vitae@ligula.edu,Brazil,Rio Grande do Sul,(64) 0000-7933,931-1038 Semper Rd.,Gerente de Enfermagem,2177,Sim,21,Parda,0,14,Nao
Omar Morse,vel@accumsanlaoreet.ca,Brazil,Paraná,(91) 0000-1187,Ap #456-9598 Auctor St.,Coordenador de Enfermagem,2178,Sim,37,Branca,1,1,Nao
Cedric Maynard,lorem.ut.aliquam@mollisphaselluslibero.edu,Brazil,Pernambuco,(85) 0000-3290,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Coordenador de Enfermagem,2179,Nao,49,Indígena,1,8,Sim
Arsenio Black,vitae.mauris@idante.net,Brazil,Bahia,(56) 0000-3489,126-9179 Fringilla Ave,Cirurgiao,2180,Sim,34,Parda,0,14,Sim
Clark Hewitt,augue@turpisnullaaliquet.net,Brazil,Paraíba,(53) 0000-3323,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Enfermeiro Plantonista,2181,Nao,43,Indígena,0,12,Nao
Igor Walsh,sed@tempusnon.edu,Brazil,Rio Grande do Sul,(31) 0000-8216,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Fisioterapeuta Geral,2182,Sim,40,Preta,0,1,Nao
Astra Rush,consectetuer.adipiscing@arcuvel.co.uk,Brazil,Ceará,(18) 0000-6424,470-6309 Quis Avenue,Enfermeiro Plantonista,2183,Nao,18,Preta,1,2,Nao
Freya Villarreal,sem.nulla.interdum@integertinciduntaliquam.com,Brazil,Pernambuco,(12) 0000-9313,1585 Tempus St.,Auxiliar de Enfermagem,2184,Nao,43,Preta,0,7,Sim
Georgia Mcleod,eu.odio@arcuimperdietullamcorper.ca,Brazil,Santa Catarina,(08) 0000-8342,1902 Pharetra. Rd.,Tecnico Em Radiologia,2185,Nao,49,Parda,1,9,Sim
Jocelyn Schwartz,egestas.a@in.org,Brazil,Santa Catarina,(68) 0000-0478,8936 Nam Street,Auxiliar de Enfermagem,2186,Nao,39,Parda,1,12,Sim
Igor Avila,montes.nascetur@bibendumullamcorper.edu,Brazil,Paraíba,(23) 0000-7135,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Auxiliar de Enfermagem,2187,Nao,39,Parda,1,4,Sim
Chadwick English,lobortis.augue.scelerisque@aliquam.net,Brazil,Maranhão,(86) 0000-5142,632-4480 Orci. St.,Auxiliar de Enfermagem,2188,Nao,32,Parda,0,4,Sim
Nolan Pickett,volutpat@nullatemporaugue.com,Brazil,Rio Grande do Sul,(66) 0000-6927,2950 In Av.,Tecnico Em Radiologia,2189,Sim,42,Indígena,0,1,Sim
Travis Mathis,erat.neque@duiscursus.net,Brazil,Paraíba,(58) 0000-3747,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Cirurgiao,2190,Nao,21,Branca,0,8,Sim
Jesse Nielsen,nam.tempor.diam@lobortis.co.uk,Brazil,São Paulo,(51) 0000-8596,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Fisioterapeuta Geral,2191,Nao,30,Parda,1,10,Sim
Katell Patel,scelerisque@liberointeger.ca,Brazil,Goiás,(21) 0000-5127,364-8897 Mi Avenue,Enfermeiro Chefe,2192,Sim,28,Indígena,0,6,Sim
Quynn Atkins,scelerisque.lorem@consequatenim.ca,Brazil,Maranhão,(37) 0000-2578,706-1837 At St.,Tecnico Enfermagem,2193,Sim,49,Preta,0,11,Sim
Kai Rodriguez,tempor.augue@scelerisque.org,Brazil,Pernambuco,(92) 0000-9844,662-9917 Cras Ave,Enfermeiro Chefe,2194,Sim,34,Amarela,0,14,Sim
Hedda Rutledge,malesuada.ut@laoreetlibero.net,Brazil,Pará,(67) 0000-3354,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Cirurgiao,2195,Nao,39,Amarela,1,1,Sim
Leigh Horton,ornare.egestas@erat.net,Brazil,Minas Gerais,(42) 0000-8355,Ap #817-5480 Vitae Avenue,Enfermeiro Chefe,2196,Sim,19,Indígena,0,11,Sim
Christopher Cochran,amet.orci@dignissimmagna.ca,Brazil,Pará,(63) 0000-6963,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Enfermeiro Obstreta,2197,Sim,24,Indígena,1,8,Nao
Hu Chase,sed.nunc@mauris.com,Brazil,Maranhão,(63) 0000-3921,3703 Lobortis. Road,Enfermeiro Obstreta,2198,Sim,37,Branca,1,3,Sim
Ulric Lowery,ac.ipsum@purus.com,Brazil,Pará,(21) 0000-8349,Quinn Elliott,eros.proin@rutrumeu.ca,Brazil,Santa Catarina,(00) 0000-6545,8773 Cursus St.,Nefrologista,2155,Sim,22,Indígena,0,Tecnico Enfermagem,2199,Nao,48,Branca,1,11,Sim
Samantha Ochoa,tellus.sem@egestasaliquamfringilla.net,Brazil,Pernambuco,(13) 0000-4422,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Enfermeiro Obstreta,2200,Sim,38,Parda,0,10,Sim
Shaine Miles,elementum.sem.vitae@namporttitorscelerisque.ca,Brazil,Goiás,(05) 0000-1555,Ap #608-7849 Libero St.,Cirurgiao,2201,Sim,36,Branca,0,13,Nao
Fallon Dejesus,et.magnis@vitaeorci.net,Brazil,Ceará,(18) 0000-8329,689-1851 Velit. St.,Fisioterapeuta Geral,2202,Nao,37,Preta,1,7,Nao
Risa Fuller,ipsum.dolor@elit.net,Brazil,Santa Catarina,(23) 0000-1292,Ap #320-4654 At Av.,Fisioterapeuta Geral,2203,Nao,47,Indígena,1,9,Nao
Ronan Edwards,lorem@rutrumloremac.org,Brazil,Ceará,(57) 0000-5189,Ap #872-649 Lorem Road,Fisioterapeuta Geral,2204,Nao,46,Preta,0,8,Sim
Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,9,Sim
Eugenia Hicks,morbi.sit@eratvolutpat.org,Brazil,Paraná,(45) 0000-2525,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Farmaceutico,2206,Nao,28,Branca,1,3,Sim
Signe Gregory,ante@etmagnis.com,Brazil,Paraná,(11) 0000-3372,279-9442 Sed Road,Enfermeiro Obstreta,2207,Nao,45,Preta,0,14,Nao
Addison Alston,diam@necanteblandit.org,Brazil,Rio de Janeiro,(84) 0000-9799,3497 In St.,Auxiliar de Enfermagem,2208,Nao,38,Indígena,0,14,Sim
Shea Mcmillan,eu.eleifend@senectus.edu,Brazil,Santa Catarina,(90) 0000-3470,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Coordenador de Enfermagem,2209,Nao,40,Preta,0,9,Nao
Kaseem Hayden,non.egestas@erosnec.edu,Brazil,Rio de Janeiro,(06) 0000-5644,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Nefrologista,2210,Sim,43,Preta,0,4,Sim
Preston Burke,sapien.aenean.massa@donecest.ca,Brazil,Paraná,(74) 0000-6850,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Medico,2211,Nao,27,Amarela,0,9,Sim
Cody Foreman,quisque.imperdiet@atvelitpellentesque.org,Brazil,Rio de Janeiro,(56) 0000-6768,Ap #170-3146 Imperdiet St.,Tecnico Enfermagem,2212,Sim,50,Preta,1,5,Nao
Chantale Morgan,mauris.id@egestasligula.com,Brazil,Minas Gerais,(18) 0000-7689,786-3064 Neque St.,Tecnico Em Radiologia,2213,Sim,35,Parda,1,11,Nao
Sydnee Everett,ipsum.suspendisse.non@ipsumdolor.co.uk,Brazil,Paraíba,(09) 0000-6453,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Farmaceutico,2214,Nao,50,Preta,0,10,Sim
Nell Baker,diam.vel@ornarefusce.org,Brazil,Pará,(86) 0000-4027,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Cirurgiao,2215,Sim,34,Amarela,1,3,Sim
Keith Mcclain,diam.proin@vel.org,Brazil,Bahia,(21) 0000-9676,Ap #155-6782 Facilisis Rd.,Fisioterapeuta Geral,2216,Sim,29,Amarela,0,12,Sim
Guy Weeks,mauris@eliterat.net,Brazil,Goiás,(32) 0000-7453,Ap #266-5716 Eu Avenue,Auxiliar de Enfermagem,2217,Nao,43,Branca,0,5,Nao
Christen Young,neque.pellentesque@tellus.edu,Brazil,Pernambuco,(36) 0000-7268,741-4051 Lectus Street,Tecnico Em Radiologia,2218,Nao,22,Branca,0,14,Nao
Amena Raymond,suspendisse@leoin.net,Brazil,Paraíba,(21) 0000-9135,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Enfermeiro Obstreta,2219,Sim,23,Branca,1,5,Sim
Sacha Stokes,lorem.luctus.ut@aliquamauctor.com,Brazil,Bahia,(53) 0000-2474,Ap #865-393 Auctor Rd.,Medico,2220,Nao,34,Preta,1,4,Sim
Ian Prince,fermentum.metus@dolorfuscemi.org,Brazil,Minas Gerais,(87) 0000-4919,468 Ac Road,Cirurgiao,2221,Sim,22,Parda,1,9,Sim
Cain Hewitt,vulputate.posuere.vulputate@famesac.ca,Brazil,Paraná,(18) 0000-8561,Ap #590-2696 Aliquam St.,Farmaceutico,2222,Sim,26,Branca,0,2,Nao
Jemima Burke,mollis@suspendissesagittis.edu,Brazil,Ceará,(46) 0000-1814,741-5001 Dictum. Ave,Enfermeiro Plantonista,2223,Nao,37,Amarela,0,7,Nao
Mohammad Maddox,eget.metus@pedecras.co.uk,Brazil,Pernambuco,(15) 0000-5671,Ap #916-6216 Phasellus Road,Nefrologista,2224,Sim,27,Branca,1,2,Sim
Dana Lyons,rhoncus.proin@dolor.com,Brazil,Paraíba,(95) 0000-8131,114 Mauris Avenue,Enfermeiro Obstreta,2225,Nao,22,Branca,0,7,Nao
Dominic Cabrera,malesuada.malesuada@at.net,Brazil,Paraíba,(27) 0000-4584,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Farmaceutico,2226,Nao,42,Indígena,1,13,Sim
Marvin Beach,sed.consequat@loremsemper.edu,Brazil,Bahia,(74) 0000-8461,8965 Amet Rd.,Coordenador de Enfermagem,2227,Sim,28,Branca,1,6,Nao
Odysseus Terry,sagittis.duis.gravida@sed.org,Brazil,São Paulo,(56) 0000-1821,Ap #761-6922 Praesent St.,Enfermeiro Plantonista,2228,Sim,28,Parda,1,11,Sim
Harper Nolan,sed.id.risus@loremauctor.com,Brazil,Minas Gerais,(66) 0000-4531,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Auxiliar de Enfermagem,2229,Nao,18,Branca,1,9,Nao
Breanna Gallagher,urna.nunc.quis@vitaedolordonec.com,Brazil,Rio de Janeiro,(17) 0000-2467,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Gerente de Enfermagem,2230,Nao,25,Parda,0,4,Nao
Serina Shields,enim.diam@eratin.ca,Brazil,Bahia,(54) 0000-0873,280-5365 Ornare. St.,Enfermeiro UTI,2231,Sim,25,Parda,1,14,Sim
Wyatt Buchanan,parturient@lacusutnec.edu,Brazil,Pará,(75) 0000-3248,Sonya Holt,vel@sit.ca,Brazil,Goiás,(21) 0000-8138,2182 Cursus Rd.,Enfermeiro Plantonista,2205,Sim,19,Amarela,1,Coordenador de Enfermagem,2232,Sim,35,Preta,1,12,Nao
Dale Kerr,consectetuer@aliquamvulputateullamcorper.org,Brazil,Paraná,(43) 0000-7074,785-8385 Pede Avenue,Enfermeiro Obstreta,2233,Sim,46,Amarela,1,8,Nao
George Haley,nullam@pedeultrices.org,Brazil,Paraná,(82) 0000-5146,Ap #237-3456 Eu Av.,Tecnico Em Radiologia,2234,Sim,47,Branca,1,10,Nao
Hayes Luna,non.sapien@eutellusphasellus.org,Brazil,Bahia,(24) 0000-7377,Ap #333-8651 Magna. Ave,Gerente de Enfermagem,2235,Sim,44,Amarela,1,13,Nao
Dante Dominguez,proin.vel@ornarefacilisiseget.net,Brazil,Pernambuco,(89) 0000-8858,349-245 Mi Avenue,Farmaceutico,2236,Sim,29,Branca,0,1,Nao
Mohammad Knapp,justo@velest.net,Brazil,Paraíba,(52) 0000-4437,9862 Praesent Road,Enfermeiro Chefe,2237,Sim,24,Preta,1,9,Nao
Sydnee Mcmahon,turpis.egestas.fusce@loremegetmollis.net,Brazil,Rio de Janeiro,(82) 0000-4493,572-1569 Risus. Street,Auxiliar de Enfermagem,2238,Nao,37,Amarela,0,8,Nao
Zane Larsen,nibh.quisque.nonummy@tristiquesenectus.net,Brazil,Ceará,(33) 0000-6120,Ap #201-9116 Egestas. Road,Fisioterapeuta Geral,2239,Sim,19,Indígena,0,1,Sim
Stella Smith,lacus@quismassa.ca,Brazil,Pernambuco,(96) 0000-4952,5659 Vitae St.,Cirurgiao,2240,Nao,38,Branca,0,1,Sim
Isaac Allison,nunc.quis@scelerisqueneque.ca,Brazil,Ceará,(86) 0000-2265,7177 Tempus Rd.,Auxiliar de Enfermagem,2241,Sim,37,Branca,1,4,Sim
Amena House,sagittis.nullam@diamduis.edu,Brazil,Maranhão,(26) 0000-1130,715-5410 Faucibus St.,Farmaceutico,2242,Nao,20,Indígena,1,7,Nao
Nero Lara,nam.interdum@ante.edu,Brazil,Maranhão,(93) 0000-0434,Ap #833-924 Quis Road,Tecnico Enfermagem,2243,Nao,27,Amarela,0,13,Nao
